Date,Time,Location,Event Name,Attendance
1,5:30pm,LFF,Morgan Wallen Concert,55000
3,6:40pm,CBP,PHILLIES vs Nationals,43000
4,6:40pm,CBP,PHILLIES vs Nationals,43000
5,6:40pm,CBP,PHILLIES vs Nationals,43000
6,6:05pm,CBP,PHILLIES vs Nationals,43000
7,6:40pm,CBP,PHILLIES vs Blue Jays,43000
8,6:05pm,CBP,PHILLIES vs Blue Jays,43000
9,1:35pm,CBP,PHILLIES vs Blue Jays,43000
13,5:30pm,LFF,Foo Fighters Concert,54000
15,5:00pm,XMA,Ultimate Fighting Championship 330,18000
17,6:40pm,CBP,PHILLIES vs Marlins,43000
18,6:40pm,CBP,PHILLIES vs Marlins,43000
19,6:05pm,CBP,PHILLIES vs Marlins,43000
20,8:00pm,SL!,Concert,5000
21,6:40pm,CBP,PHILLIES vs Cardinals,43000
21,7:30pm,XMA,Rush Concert,12000
22,6:05pm,CBP,PHILLIES vs Cardinals,43000
23,1:35pm,CBP,PHILLIES vs Cardinals,43000
23,7:30pm,XMA,Rush Concert,12000
25,6:00pm,LFF,Eagles Open Practice,45000
28,8:00pm,LFF,EAGLES vs Bengals Preseason,58000
29,11:30am,Hot Wheels Monster Trucks,5000
29,6:30pm,Hot Wheels Monster Trucks,5000
30,1:30pm,Hot Wheels Monster Trucks,5000
